commit_id,date,message
a7f6b3089c15060071e46ac9056670c5be75965e,2013-08-01 11:11:52+01:00,#44 adds support for watching and dynamically adding/updating/removing blueprint containers while watching the file system; so folks can edit blueprint based camel XML files on the fly in the hawtio wiki
6c4ae85a6789ffcb0856425b7f094f5c5486b079,2013-08-01 11:41:20+01:00,#44 explicitly filter out any matched XML files which don't contain the correct namespaces to avoid generating unnecessary exceptions in the log if we try and parse arbitrary XML files as spring or blueprint
82cc04797b32ef59145414430aef1bf25353642b,2013-08-01 13:24:59+01:00,#44 allow the parent container to be registered; so one day we can use it to auto-default the properties and class loader
754d9522f2382d118e198b3f9687287e89b20d26,2013-08-01 18:05:07+03:00,"#45: Allow advertising a different port (than the binding port) for http, jmx, ssh and zookeeper."
e8aca8fcbad5ea52a48225b8025204fc46c7f38e,2013-08-02 17:34:30+03:00,"#45 Make sure the maven proxy, git http server & web apps properly advertise their url when different connection ports are used."
a4ab14409e3e65809d3cbeab2b29f1c5e8a0d823,2013-08-07 12:58:15+03:00,#45: Remove duplicate protocol definition in maven proxy and git urls.
d793d6514ce30196bdee3e2923affface000af06,2013-08-07 14:39:19+03:00,#46 Move ssh and jclouds specific option and metadata classes to their own modules.
dc53c7b6c88e02451294a383204238e289f4b4e4,2013-08-07 14:40:02+03:00,#47: Fix fragment support in fabric-agent.
e3aa455a9b2b67ef8ef8adaa6d08ee82756b545e,2013-08-14 07:50:38+02:00,"Fix #50, add a changeCreateOptionsField method to JMX that allows a way to update configuration that was created when a container is created"
0da4bade33bd4211fc5591009bd262b85cbdd296,2013-08-15 12:14:45+01:00,"first spike of #54 got the basic import, create version, create/delete profile working; still lots to do"
d2d6fabe21977b4e6e0b092bbbde01c0357eeafc,2013-08-15 14:12:44+01:00,mostly working version/profile/configuration git implementation of DataStore for #54; file watching is missing though
ab59678cd24ba62763b00c12dcebcaac1ba5c59c,2013-08-16 11:38:21-04:00,Fix #56
170f66bef125cac006112e78036f383e4e87fd57,2013-08-16 13:38:59-04:00,"Fix #57, this better not break fabric:create this time"
ddcea926cbba1f8256414cde8214f81b2d3c1069,2013-08-16 15:41:31-04:00,Fix #58 and remove fabric-core scala dependency
117f363a46f226e3220ed64cc3e174439279a2c2,2013-08-19 10:48:27+01:00,#54 avoid unnecessary pulls before read only GitDataStore operations
53b214c126fe0830b2cac797a2b005d452a7a1ae,2013-08-20 06:20:54+01:00,#54 refactor fabric-git-hawtio so it can reuse the GitDataStore and the same git checkout to avoid requiring 2 checkouts
4dc2698940c2f8fdfdde0ac20f71bf2903087f45,2013-08-20 06:21:57+01:00,#54 switch to the git based DataStore implementation by default
0bfe11ca67950e399e552ca0aa6f686726543d11,2013-08-20 06:46:03+01:00,"#54 now we only have 1 git checkout per container, revert to simpler directory name for the local checkout (as the double use of 'fabric' in the paths was confusing)"
3422bcfef82f6b1291acc59f08cdee45564b3572,2013-08-20 06:48:48+01:00,#54 removed old cruft
63d8979fd415137b9d4e8dd6249d37a2456b0bf2,2013-08-23 00:40:01-07:00,"Merge pull request #62 from tdiesler/fixbuild

Fix fuse master build"
026b3a8344889dc2d9031546571a43199913cedc,2013-08-23 03:58:48-07:00,"Merge pull request #63 from tdiesler/fab528

[FABRIC-528] Fix fabric/fabric-camel tests - Ignore failing tests"
1b8267988cb702b5b9dcc161e6d544c62fa84c6b,2013-08-23 03:59:20-07:00,"Merge pull request #64 from tdiesler/fab529

[FABRIC-529] Fix fabric/fabric-core tests - Ignore hanging test"
6c0197f8e908e100968d55c2c805daddf74f93c7,2013-08-23 14:35:45+01:00,fixes #65
f6d65844693f855cfae3903e896ae0cde6b298b7,2013-08-23 14:37:01+01:00,fixes #65
df4ebe4406ecfaf429e04fa3633653e652c297ae,2013-08-23 14:47:37+01:00,fixes #65
c55bca9d9d2a4e30c1ec123f76a1a817414e0b5d,2013-08-23 15:10:48+01:00,fixes #65
dc1bfdf29fcb9c9de84b52806285865bbd999311,2013-08-23 15:29:28+01:00,fixes #65
77f17bcc2bb1d7a2891a597e50a31bad9a6c3fe9,2013-08-23 16:28:45+01:00,fixes #65
0362a7cd1132931a6e77132221d515af62de331d,2013-08-23 16:43:21+01:00,fixes #65
c2cebf182d16e22cc29f6c462b68d6eccb39f14d,2013-08-23 17:29:17+01:00,fixes #65
c07bde05a57f221ca4d001803dff7911456af804,2013-08-23 17:35:50+01:00,fixes #65
b467e62d212923e00fa92dedb24319e99f7bf719,2013-08-23 10:11:03-07:00,"Merge pull request #66 from tdiesler/fab530

[FABRIC-530] Cannot build fuse-fabric with -am"
592938f071a0506aba210f670cefffc67a1b7d2a,2013-08-23 18:48:46+01:00,fixes #65
198589f97683a89994ad5450295b8c9778adf14f,2013-08-23 18:55:32+01:00,fixes #65
27d1ea3770a195d14eaaf6487c6e7c0ff1af29bd,2013-08-23 19:50:48+01:00,fixes #65
f6a844b8d486fcc9002a1d22b17eea6c0633723f,2013-08-27 22:09:09+03:00,#68 Fix stash handling so that it doesn't cause issues with external clients.
65d69810f6cb2a0f8931abae66a74a71a4685760,2013-09-02 01:08:47-07:00,"Merge pull request #70 from tdiesler/fab528

[FABRIC-528] Fix fabric/fabric-camel tests - Ignore failing tests"
