commit_id,date,message
7beb109c7870747e183f734ebab4df68f1048d43,2009-10-14 15:44:00+00:00,"proper crashed flush coordinator testing
see FLUSH#testFlushWithCrashedFlushCoordinator"
5d56b01afdb9ae616864de9ffb4b1fbf0cb86917,2009-10-14 15:44:00+00:00,"proper crashed flush coordinator testing
see FLUSH#testFlushWithCrashedFlushCoordinator"
f8a743b64dd823ea2029aa61b173866c6a1915e7,2011-05-22 19:24:28-07:00,"Merge pull request #16 from nickmbailey/master

Improvements to StompConnection"
dad87474e7d2200506d9e01f9b3640f06566d87f,2011-06-01 06:46:18-07:00,"Merge pull request #17 from nickmbailey/master

Make reconnecting feature optional."
c1c1251f5c52164e4b2a470272a755cf29775e8e,2011-06-21 14:46:47-04:00,JGRP-1007 - Flush: change signature of JChannel#startFlush
e9f4ecb81044bb2836160a15223830e02a56799a,2011-06-23 08:37:16-07:00,"Merge pull request #18 from belaban/t_jgrp_1007

JGRP-1007 - Flush: change signature of JChannel#startFlush"
87adf9ee35deb23cfba6d8a063aaa445858970b6,2012-01-28 01:21:48-08:00,"Merge pull request #25 from danberindei/t_maven_build

Fix the Maven build."
dfc3aa34c2dc828362a76176aa9727e249acb7e1,2012-02-19 08:51:47-08:00,"Merge pull request #27 from dimbleby/master

Couple of minor fixes"
8dbafc8e817cd1b4d8b073c16c68066bc00609de,2012-03-12 11:49:05-07:00,"Merge pull request #31 from maniksurtani/t_tweaks_master

Remove unnecessary method overriding"
67a008403438c76e917aee9a76ee428e8b9e88c3,2012-03-26 09:04:39-07:00,"Merge pull request #34 from pruivo/toa_tmp

The sender sends the message to itself if NO_TOTAL_ORDER flag is enabed"
9d1d01739e4d6a46a682d962196b8230302b9328,2012-04-01 22:50:14-07:00,"Merge pull request #35 from Sanne/JGRP-1440

JGRP-1440 JDBC_PING java.sql.SQLException: ORA-00001: unique constraint ..."
dba92c9104b5cac951afe00cc64c12c11534f383,2012-04-13 08:55:26-07:00,"Merge pull request #36 from vblagoje/t_1426_m

JGRP-1426 Group unable to accept new members: FLUSH gets stuck"
2f31700bc42bfcf43bc8bcef82917a92e730f352,2012-05-05 05:51:55-07:00,"Merge pull request #43 from dimbleby/trivia

Fix toString() for VERIFY_SUSPECT$Entry"
dc1486971b558f330411715467c6d800fea24d88,2012-05-09 02:15:15-07:00,"Merge pull request #41 from dimbleby/JGRP-1458

JGRP-1458 SEQUENCER delivers the same message twice"
025e5ccd5efea7a16dc30916f8ee24dfbfe04a0d,2012-05-10 00:00:29-07:00,"Merge pull request #44 from dimbleby/JGRP-1461

JGRP-1461"
b0b90f2939625328904b31874c054b084d5e4797,2012-05-14 07:13:07-07:00,"Merge pull request #46 from dimbleby/JGRP-1463

JGRP-1463: Avoid ArrayIndexOutOfBoundsException"
88e32282449906b7b2e69a801f2423a7b0219faa,2012-05-29 02:09:54-07:00,"Merge pull request #47 from dimbleby/trivia

Send upwards message to the upwards protocol"
7ab16844a8eb98a411ac5549a7ab7d131285df8c,2012-05-31 22:59:21-07:00,"Merge pull request #48 from pruivo/fix_1

bugfix when the address list in TOA is a single member"
528a06c52bea7d3f6f25743f2414e790e98c7305,2012-06-08 06:41:59-07:00,"Merge pull request #50 from tsegismont/SWIFT_PING

Add protocol SWIFT_PING"
adfa3a5409d60c265efffc4101e5ac266b90616a,2012-06-13 00:07:01-07:00,"Merge pull request #51 from wburns/JGRP-1479

JGRP-1479"
f8d4403a2366e465c0d4040e37465b944bb006a1,2012-08-27 08:29:31-07:00,"Merge pull request #62 from dimbleby/JGRP-1498

JGRP-1498 avoid a SEQUENCER deadlock"
0f33caa8ba12892c9c8d2957a1046d2e817ff3c5,2012-08-28 00:53:45-07:00,"Merge pull request #63 from wburns/JGRP-1501

JGRP-1501"
c0d51f98289b053fcad658404c5bd05432c52fa5,2012-09-05 02:40:22-07:00,"Merge pull request #64 from danberindei/t_1508_m

JGRP-1508 Test sending messages with MessageDispatcher after the channel..."
a1d4c2ef9786d8e98e5a9421b271d85f330f1050,2012-10-04 06:07:37-07:00,"Merge pull request #66 from alesj/util_fix

Use right classloader"
3261948c8370ef813984ae9a00ed691ca64d161b,2012-10-18 05:49:06-07:00,"Merge pull request #67 from tristantarrant/JGRP-1527

JGRP-1527 Make the POM package the jg-messages*.properties files in the JAR"
91eb62eec3d42ca7181c76335f3957259373afcd,2013-01-30 07:19:21-08:00,"Merge pull request #72 from rvansa/master

JGRP-1574 ProgressCheck and Custom rejection policies (JGroups 3.3.x)"
db28af30523cfa07a3638785d821d52347ee8060,2013-02-01 23:36:23-08:00,"Merge pull request #73 from nickmbailey/master

Connection callback for stomp connection"
7cb117b231b11c11e3883089d0c51f4001089647,2013-02-19 03:00:54-08:00,"Merge pull request #74 from pruivo/t_toa_discard_leavers

TOA: discard leavers' messages"
81591ffb9d514f85fa7da115f25a204ad59985ee,2013-02-21 08:37:53-08:00,"Merge pull request #75 from pruivo/t_toa_fix

TOA: bugfix in the previous pull request"
bd85c2168499ec883b03d4364d8e5e6dc51e4a45,2013-03-07 00:59:03-08:00,"Merge pull request #76 from neutrospec/master

NAKACK go crazy after Interger.MAX_VAL messages"
c07d05fd4d4cb1c542f011fb892b273b7bd9f1b9,2013-05-04 01:00:08-07:00,"Merge pull request #77 from KnisterPeter/master

[JGRP-1619] Update OSGi manifest"
c51edc15eff8ef559e78eda44b7f681f922f1f4c,2013-05-21 07:41:55-07:00,"Merge pull request #80 from bdecoste/master

 fix NPE for defer_client_bind_addr=true"
8da24b83adf878816b3cc807236353e0c1017434,2013-05-30 00:00:35-07:00,"Merge pull request #81 from wburns/JGRP-1631

JGRP-1631 Fixed issue with build with maven as it was missing log4j2 dep..."
748b112e554e4c8577b270eea1aa042878a7fa03,2013-07-11 03:37:37-07:00,"Merge pull request #85 from mposolda/master

Always cleanup buffer after receive diagnostics message"
2b47c52131e5beec61ec5a4a076bbd073d8677ba,2013-08-09 06:16:42-07:00,"Merge pull request #92 from Sanne/SomePOMcleanup

Some po mcleanup"
19e1115ce3213c3d03a21cc0587481923145628a,2013-08-15 23:47:54-07:00,"Merge pull request #93 from wburns/ConditionLockingChanges

Removed unneeded now unneeded synchronization from Conditions in Locking..."
777fdb71a8b198722c7acd05438cede1b3fe51ca,2013-08-20 00:38:54-07:00,"Merge pull request #94 from dereed/master

JGRP-1674"
9a8376e9342da2cd05acb8f461fb8a4570aac18a,2013-08-23 06:06:51-07:00,"Merge pull request #97 from rhusar/noparalleltests

Add option to disable parallelization with ""-Dparallel.tests=false -Dpar..."
7ea6a6bc0ecb8cb2b4eca2beb58e92375097b264,2013-08-23 06:13:11-07:00,"Merge pull request #96 from rhusar/maven

Fix maven ""test"" goal by delegating to ant"
8c2e11c87bfed03a182789b2224bd4e1c892a8be,2013-08-30 09:19:19-07:00,"Merge pull request #102 from pferraro/master

[master] JGRP-1611 Update log messages to follow TAG-2 message format"
fc3b6acd69b82d287c6a4d86277b4b4fc0a25bf0,2013-09-05 00:26:35-07:00,"Merge pull request #103 from rhusar/sbuffer

ns"
d173a595609ba2c84a1af83c41c6f691e4899cd1,2013-09-12 03:17:20-07:00,"Merge pull request #106 from tristantarrant/JGRP-1692/xsd_element_ns

JGRP-1692 Make sure the 'type' element in the generated XSD references the local target namespace for the ConfigType"
48a5f9418a0ef4fd7946f0277820c1b8477c28c7,2013-10-17 00:46:48-07:00,"Merge pull request #107 from nekop/fd_sock-debug-cause

The FD_SOCK.handleSocketClose() debug log doesn't print the exception me..."
b7da27d05605bf689d07d3963a78c5c7f97842ac,2013-10-18 21:43:34-07:00,"Merge pull request #108 from Sanne/DELAY_updated

DELAY: add options for nanoseconds delay"
1c50c46294101365680f79eb8b4d490ac6ffc790,2013-10-29 06:10:39-07:00,"Merge pull request #109 from rvansa/t_fixtypo

Fixed trivial typo"
584b73e2145931f40914de1176359e5ee0cdc9f5,2013-11-01 09:29:18-07:00,"Merge pull request #110 from rachmatowicz/JGRP-1727

[JGRP-1727] Fix McastReceiverTest on Windows."
edd3d2e400474b6936ba7bf2082384aa11007ded,2013-11-05 01:39:36-08:00,"Merge pull request #111 from rachmatowicz/parallel

Fix variables which control parallelism to be configured from build.xml only."
959a6cf05d7a01bb86bfdf050dbcca2c968890a2,2013-11-05 21:15:19-08:00,"Merge pull request #112 from rachmatowicz/master

Fix parallelism."
6a5703cb1f95c897c820a36b4224f9e5f21a4e2b,2013-11-12 03:14:49-08:00,"Merge pull request #113 from rachmatowicz/output_leak

[JGRP-1739] Fix test output leaking across test cases."
ae9221a9ff6407b8afca475639f68a31046439a0,2013-12-03 22:36:53-08:00,"Merge pull request #115 from thetwan/master

Correcting incorrect parameter javadoc"
2572eea46a895d9537e3179d8b700d3770adc8f0,2014-01-16 10:51:05-08:00,"Merge pull request #117 from justinsb/fix_skip

Move position, not limit, to skip bytes in ByteBufferInputStream"
92de2510c9d9487711d130f859435c538e5ae918,2014-01-16 10:52:14-08:00,"Merge pull request #119 from justinsb/bytebufferinputstream_eof

Map BufferUnderflowException to EOFException in ByteBufferInputStream"
5eb01ec3bdecc754cda5f36001743f09613055e3,2014-02-08 10:35:40+01:00,"Merge pull request #123 from bbrowning/s3-presigned-urls

Update S3_PING to work with newer pre-signed URL format"
2a12d719756bdcfea8302a0522e7423c86994851,2014-03-03 17:26:45+01:00,"Merge pull request #126 from pruivo/JGRP-1785

JGRP-1785 TOA, inconsistent message delivery"
675a23c47c667ff232e8ae4036871cea3d3d5c11,2014-03-08 08:49:16+01:00,"Merge pull request #130 from alanfx/t_s3_ping_error_checking

Additional error checks in S3_PING"
cba81b3df84947d67f6e51178b5786dddf4fcf29,2014-03-10 15:48:29+01:00,"Merge pull request #131 from tristantarrant/encrypt_iv

ENCRYPT: allow selecting a key algorithm and specifying an IV parameter"
5038f4b0683c829cc643ebbe19365cd96d6271c5,2014-03-11 07:20:54+01:00,"Merge pull request #133 from rachmatowicz/master

Update RpcDispatcherTest to be in line with 3.2.13.Final"
a45dfa84300ce9bc6f85d1afea0c30ad436c8e3b,2014-04-04 09:02:35+02:00,"Merge pull request #137 from vblagoje/t_1735

JGRP-1735 JChannel.startFlush() does not attempt back-off on flush"
